Time[s], Channel 1
0, 1
3.36656, 0
3.37566, 1
3.38012, 0
3.38078, 1
3.38272, 0
3.38338, 1
3.38534, 0
3.38598, 1
3.3867, 0
3.38736, 1
3.38806, 0
3.38872, 1
3.38942, 0
3.39008, 1
3.39078, 0
3.39144, 1
3.39338, 0
3.39404, 1
3.396, 0
3.39666, 1
3.3986, 0
3.39926, 1
3.40122, 0
3.40188, 1
3.40382, 0
3.40448, 1
3.40518, 0
3.40584, 1
3.40778, 0
3.40844, 1
3.40914, 0
3.4098, 1
3.4105, 0
3.41116, 1
3.41312, 0
3.4138, 1
3.41448, 0
3.41516, 1
3.41708, 0
3.41776, 1
3.41846, 0
3.41912, 1
3.41982, 0
3.42048, 1
3.42118, 0
3.42184, 1
3.42378, 0
3.42444, 1
3.42638, 0
3.42704, 1
3.429, 0
3.42968, 1
3.43036, 0
3.43104, 1
3.43296, 0
3.43364, 1
3.43432, 0
3.435, 1
3.43694, 0
3.4376, 1
3.4383, 0
3.43896, 1
3.43966, 0
3.44032, 1
3.44102, 0
3.44168, 1
3.4424, 0
3.44306, 1
3.44376, 0
3.44442, 1
3.44512, 0
3.44578, 1
3.44648, 0
3.44714, 1
3.44784, 0
3.4485, 1
3.4492, 0
3.44986, 1
3.45056, 0
3.45122, 1
3.45316, 0
3.45384, 1
3.45454, 0
3.45522, 1
3.4559, 0
3.45658, 1
3.45726, 0
3.45794, 1
3.45862, 0
3.4593, 1
3.45998, 0
3.46066, 1
3.46134, 0
3.46202, 1
3.4627, 0
3.46338, 1
3.46406, 0
3.46474, 1
3.46544, 0
3.46612, 1
3.4668, 0
3.46748, 1
3.46816, 0
3.46884, 1
3.46952, 0
3.4702, 1
3.47088, 0
3.47156, 1
3.47224, 0
3.47292, 1
3.47486, 0
3.47552, 1
3.47622, 0
3.47688, 1
3.4776, 0
3.47826, 1
3.47896, 0
3.47962, 1
3.48032, 0
3.48098, 1
3.48168, 0
3.48234, 1
3.48304, 0
3.4837, 1
3.4844, 0
3.48506, 1
3.48576, 0
3.48642, 1
3.48712, 0
3.48778, 1
3.4885, 0
3.48916, 1
3.48986, 0
3.49052, 1
3.49122, 0
3.49188, 1
3.49258, 0
3.49324, 1
3.49394, 0
3.4946, 1
3.4953, 0
3.49596, 1
3.49666, 0
3.49732, 1
3.49802, 0
3.49868, 1
3.4994, 0
3.50006, 1
3.50076, 0
3.50142, 1
3.50212, 0
3.50278, 1
3.50348, 0
3.50414, 1
3.50484, 0
3.5055, 1
3.5062, 0
3.50686, 1
3.5088, 0
3.50948, 1
3.51016, 0
3.51084, 1
3.51154, 0
3.51222, 1
3.5129, 0
3.51358, 1
3.51426, 0
3.51494, 1
3.51562, 0
3.5163, 1
3.51698, 0
3.51766, 1
3.51834, 0
3.51902, 1
3.52094, 0
3.52162, 1
3.52356, 0
3.52422, 1
3.52618, 0
3.52686, 1
3.52878, 0
3.52946, 1
3.53014, 0
3.53082, 1
3.53274, 0
3.53342, 1
3.5341, 0
3.53478, 1
3.53546, 0
3.53614, 1
3.53682, 0
3.5375, 1
3.53818, 0
3.53886, 1
3.53956, 0
3.54024, 1
3.54218, 0
3.54284, 1
3.54478, 0
3.54544, 1
3.54614, 0
3.5468, 1
3.54874, 0
3.54942, 1
3.5501, 0
3.55078, 1
3.5527, 0
3.55338, 1
3.55406, 0
3.55474, 1
3.55668, 0
3.55736, 1
